location,location_code,location_name
1,G,Global
2,D0,Developing
3,D1,Developed
4,S6,"Southeast Asia, East Asia, and Oceania"
5,R3,East Asia
6,CHN,China
7,PRK,North Korea
8,TWN,Taiwan
9,R5,Southeast Asia
10,KHM,Cambodia
11,IDN,Indonesia
12,LAO,Laos
13,MYS,Malaysia
14,MDV,Maldives
15,MMR,Myanmar
16,PHL,Philippines
17,LKA,Sri Lanka
18,THA,Thailand
19,TLS,Timor-Leste
20,VNM,Vietnam
21,R17,Oceania
22,FJI,Fiji
23,KIR,Kiribati
24,MHL,Marshall Islands
25,FSM,Federated States of Micronesia
26,PNG,Papua New Guinea
27,WSM,Samoa
28,SLB,Solomon Islands
29,TON,Tonga
30,VUT,Vanuatu
31,S2,"Central Europe, Eastern Europe, and Central Asia"
32,R2,Central Asia
33,ARM,Armenia
34,AZE,Azerbaijan
35,GEO,Georgia
36,KAZ,Kazakhstan
37,KGZ,Kyrgyzstan
38,MNG,Mongolia
39,TJK,Tajikistan
40,TKM,Turkmenistan
41,UZB,Uzbekistan
42,R8,Central Europe
43,ALB,Albania
44,BIH,Bosnia and Herzegovina
45,BGR,Bulgaria
46,HRV,Croatia
47,CZE,Czech Republic
48,HUN,Hungary
49,MKD,Macedonia
50,MNE,Montenegro
51,POL,Poland
52,ROU,Romania
53,SRB,Serbia
54,SVK,Slovakia
55,SVN,Slovenia
56,R9,Eastern Europe
57,BLR,Belarus
58,EST,Estonia
59,LVA,Latvia
60,LTU,Lithuania
61,MDA,Moldova
62,RUS,Russia
63,UKR,Ukraine
64,S1,High-income
65,R1,High-income Asia Pacific
66,BRN,Brunei
67,JPN,Japan
68,KOR,South Korea
69,SGP,Singapore
70,R6,Australasia
71,AUS,Australia
72,NZL,New Zealand
73,R10,Western Europe
74,AND,Andorra
75,AUT,Austria
76,BEL,Belgium
77,CYP,Cyprus
78,DNK,Denmark
79,FIN,Finland
80,FRA,France
81,DEU,Germany
82,GRC,Greece
83,ISL,Iceland
84,IRL,Ireland
85,ISR,Israel
86,ITA,Italy
87,LUX,Luxembourg
88,MLT,Malta
89,NLD,Netherlands
90,NOR,Norway
91,PRT,Portugal
92,ESP,Spain
93,SWE,Sweden
94,CHE,Switzerland
95,GBR,United Kingdom
96,R13,Southern Latin America
97,ARG,Argentina
98,CHL,Chile
99,URY,Uruguay
100,R16,High-income North America
101,CAN,Canada
102,USA,United States
103,S7,Latin America and Caribbean
104,R7,Caribbean
105,ATG,Antigua and Barbuda
106,BHS,The Bahamas
107,BRB,Barbados
108,BLZ,Belize
109,CUB,Cuba
110,DMA,Dominica
111,DOM,Dominican Republic
112,GRD,Grenada
113,GUY,Guyana
114,HTI,Haiti
115,JAM,Jamaica
116,LCA,Saint Lucia
117,VCT,Saint Vincent and the Grenadines
118,SUR,Suriname
119,TTO,Trinidad and Tobago
120,R11,Andean Latin America
121,BOL,Bolivia
122,ECU,Ecuador
123,PER,Peru
124,R12,Central Latin America
125,COL,Colombia
126,CRI,Costa Rica
127,SLV,El Salvador
128,GTM,Guatemala
129,HND,Honduras
130,MEX,Mexico
131,NIC,Nicaragua
132,PAN,Panama
133,VEN,Venezuela
134,R14,Tropical Latin America
135,BRA,Brazil
136,PRY,Paraguay
137,S4,North Africa and Middle East
138,R15,Algeria
139,DZA,Bahrain
140,BHR,Egypt
141,EGY,Iran
142,IRN,Iraq
143,IRQ,Jordan
144,JOR,Kuwait
145,KWT,Lebanon
146,LBN,Libya
147,LBY,Morocco
148,MAR,Palestine
149,PSE,Oman
150,OMN,Qatar
151,QAT,Saudi Arabia
152,SAU,Syria
153,SYR,Tunisia
154,TUN,Turkey
155,TUR,United Arab Emirates
156,ARE,Yemen
157,YEM,South Asia
158,S5,Afghanistan
159,R4,Bangladesh
160,AFG,Bhutan
161,BGD,India
162,BTN,Nepal
163,IND,Pakistan
164,NPL,Sub-Saharan Africa
165,PAK,Central Sub-Saharan Africa
166,S3,Angola
167,R18,Central African Republic
168,AGO,Congo
169,CAF,Democratic Republic of the Congo
170,COG,Equatorial Guinea
171,COD,Gabon
172,GNQ,Eastern Sub-Saharan Africa
173,GAB,Burundi
174,R19,Comoros
175,BDI,Djibouti
176,COM,Eritrea
177,DJI,Ethiopia
178,ERI,Kenya
179,ETH,Madagascar
180,KEN,Malawi
181,MDG,Mauritius
182,MWI,Mozambique
183,MUS,Rwanda
184,MOZ,Seychelles
185,RWA,Somalia
186,SYC,Tanzania
187,SOM,Uganda
189,TZA,Zambia
190,UGA,Southern Sub-Saharan Africa
191,ZMB,Botswana
192,R20,Lesotho
193,BWA,Namibia
194,LSO,South Africa
195,NAM,Swaziland
196,ZAF,Zimbabwe
197,SWZ,Western Sub-Saharan Africa
198,ZWE,Benin
199,R21,Burkina Faso
200,BEN,Cameroon
201,BFA,Cape Verde
202,CMR,Chad
203,CPV,Cote d'Ivoire
204,TCD,The Gambia
205,CIV,Ghana
206,GMB,Guinea
207,GHA,Guinea-Bissau
208,GIN,Liberia
209,GNB,Mali
210,LBR,Mauritania
211,MLI,Niger
212,MRT,Nigeria
213,NER,Sao Tome and Principe
214,NGA,Senegal
215,STP,Sierra Leone
216,SEN,Togo
217,SLE,South Sudan
218,TGO,Sudan
435,SSD,
522,SDN,
